gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,compared_condition,gene_wb
NA,187.2095894198578,-5.062862898350039,0.5968909545059315,5.8706220870873335e-19,3.12645849869923e-16,A,C46F9.5
K07H8.9,1393.4476775036335,2.107444188284845,0.2647620501038117,3.7959652756824397e-17,1.4038744911232223e-14,A,K07H8.10
F53C11.9,169.25951341481203,-4.689194691193974,0.603267833255745,3.3954332609221217e-16,1.0045955207981585e-13,A,F53C11.9
NA,61.58958918042657,-3.0754814377373645,0.3950908198050169,1.2665134082925393e-15,3.3141028378863973e-13,A,C39B5.16
Y41G9A.10,321.6771186381958,-4.152298664914891,0.5732644440517921,3.842136376791061e-14,8.250678019450998e-12,A,Y41G9A.10
cdc-25.2,214.85772844530578,-4.703768399100222,0.6905228874955748,3.9802823972107084e-13,6.882270108631607e-11,A,F16B4.7
K10G4.16,43.863127038211665,-5.138678926859795,0.7650213966699735,4.095078332110716e-13,6.901502900471148e-11,A,K10G4.16
ZK6.11,70.55268623118106,5.170015206168982,0.7822793025306188,8.11165567963077e-13,1.3170558990073668e-10,A,ZK6.11
ech-4,97.25597552174685,-2.435600002500976,0.3649477777851608,1.3042297392889207e-12,2.0191296219642665e-10,A,R06F6.9
nlp-27,296.0544338822984,-4.769674466536663,0.7235637102719193,1.609547299549881e-12,2.4631623846215077e-10,A,B0213.2
hsp-12.6,52.27017719903915,-6.192333624067038,0.9864200931304765,1.745842974070023e-12,2.6413810632691233e-10,A,F38E11.2
H32K16.2,145.51215080728673,-4.099703340796273,0.622964085219247,4.1155823499303685e-12,5.767880358628728e-10,A,H32K16.2
ahcy-1,4425.047231599946,2.3497760606859543,0.36798286294952554,6.60516599782643e-12,9.16053959323553e-10,A,K02F2.2
gst-7,245.61304900007465,-3.238723430811421,0.49502993388612493,9.072654436295884e-12,1.2325849098453409e-9,A,F11G11.2
dct-17,49.23956490504975,6.189290035021365,1.030578651812725,9.36346915755049e-12,1.2592447309457297e-9,A,F35E12.7
Y32F6B.1,256.7554173856257,-4.816408033942286,0.76470086741478,1.0172800054026188e-11,1.3544065991930465e-9,A,Y32F6B.1
mct-3,435.40645392938615,2.4160174314363947,0.38165723817114827,1.1204034843977977e-11,1.4769358407200276e-9,A,M03B6.2
F31E3.6,211.29364008272606,-2.457135568870714,0.3898071624101784,1.473824226809139e-11,1.9050966753142597e-9,A,F31E3.6
T10G3.3,79.91357436842445,4.25024998884362,0.6684455218838794,1.468322377870716e-11,1.9050966753142597e-9,A,T10G3.3
F13D11.3,58.59491647987817,-3.6930380618330947,0.5752512252991955,1.7130051116341412e-11,2.1929759669516306e-9,A,F13D11.3
ttr-15,550.7626058940889,-4.008209397712925,0.6355383543293511,2.669579905621696e-11,3.3757109065997238e-9,A,T07C4.5
F56H9.2,439.8174730850822,-2.765193347964782,0.4382432589561505,2.6875871721463925e-11,3.3757109065997238e-9,A,F56H9.2
ins-22,57.7439191650213,4.059076580908191,0.6470388866138983,3.125701042659842e-11,3.825505541971584e-9,A,M04D8.2
csq-1,190.46932943263684,-1.9314217113578556,0.32671342723513064,4.107129767883956e-11,4.839143869876725e-9,A,F40E10.3
C18A3.3,287.61779009817263,1.5354630438255144,0.2614226211300364,4.794147261904286e-11,5.5440432807424566e-9,A,C18A3.3
fipr-13,113.35799873790207,-5.21167843546681,0.8751780899878053,4.8303216205958007e-11,5.5440432807424566e-9,A,F57A8.8
