gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_wb
asp-14,506.0872154847124,11.443949832308874,1.5722674339513827,1.7859744401031676e-20,2.377846369553357e-16,K10C2.3
B0511.19,31.122929674964034,21.44827442539681,2.3794506147001777,4.6292788153624766e-20,3.0817109073868007e-16,B0511.19
F55G11.2,92.05069343262407,6.601329999709383,0.8605894877463842,4.2173905612680877e-16,1.871677931090777e-12,F55G11.2
T05B4.12,1414.7618464089903,-6.793127682657374,0.9300540732137363,4.8180328786681916e-15,1.6036822436647075e-11,T05B4.12
K12H4.7,168.26625638858184,4.96681336599364,0.667097031486412,1.5177817328923187e-14,4.041549198345667e-11,K12H4.7
F46F2.3,102.43930391067906,8.52259183763592,1.3470473606067186,4.845602772243587e-14,8.253540661563052e-11,F46F2.3
C27D9.1,5.8339586043158205,19.50589995663173,2.7789491291859076,4.072661378062194e-14,8.253540661563052e-11,C27D9.1
clec-80,61.046942643485686,3.7451933318147175,0.5109925247046843,4.959315404274028e-14,8.253540661563052e-11,Y54G2A.39
W06G6.20,164.20005604180176,-5.927506984913707,0.8311528208995211,5.879060372585791e-14,8.697089977845247e-11,W06G6.20
R08E5.4,222.00751918799585,-5.708311226980986,0.8211576656457586,2.7152257415897346e-13,3.615051552352573e-10,R08E5.4
let-754,105.59390479855371,2.329223367626927,0.3828046744232717,4.261493610079833e-13,4.728127160383575e-10,C29E4.8
irg-4,63.545295404628476,6.342903283507498,0.936285805595796,4.0968665449576447e-13,4.728127160383575e-10,F08G5.6
spp-17,93.14649540229453,7.7885364514684525,1.235592501873933,4.71325691149021e-13,4.827100193813897e-10,C54G6.5
C46F9.5,187.2095894198578,-5.9877007359844185,0.8930666344538574,1.0622999089697042e-12,1.0102472134301886e-9,C46F9.5
T28B8.1,127.69675265241963,-5.61227143300278,0.8424237244259295,2.184791677336746e-12,1.9392210928040955e-9,T28B8.1
F42A10.7,217.2861263465278,4.944156086180629,0.7403819584733544,3.5908118828546813e-12,2.9880043380204517e-9,F42A10.7
mdl-1,1788.1728195632093,-2.0663072727382366,0.36814987252941955,7.088813982843897e-12,5.5517923157402146e-9,R03E9.1
F13E9.15,391.8135833285189,-3.142104939974882,0.5002440046016499,9.221372555246458e-12,6.82074190003063e-9,F13E9.15
lact-2,170.07720965114342,-3.783837051928796,0.5817817764761466,1.2177429040591442e-11,8.533173170864972e-9,ZK945.1
clec-248,568.8383027400205,-4.59743866006704,0.7083685387893295,1.5059381064740207e-11,1.0025029974797557e-8,Y51A2A.11
ptr-14,164.9316158493168,5.386082926243664,0.8508778778986009,2.3760908786180683e-11,1.5064416170438552e-8,R09H10.4
