gene,baseMean_A,log2FoldChange_A,lfcSE_A,pvalue_A,padj_A,compared_condition_A,gene_wb,baseMean_B,log2FoldChange_B,lfcSE_B,pvalue_B,padj_B,compared_condition_B
fmo-5,2017.083683527952,-6.992496571978141,0.43243735627667884,1.8167995729952137e-60,2.4188869514858277e-56,A,H24K24.5,2017.083683527952,-5.390423943003207,0.5002381660212044,1.2322690546696979e-28,4.954132356123742e-25,B
dhs-19,824.7132709355068,-5.353398922790922,0.3313310794735208,7.578876836167457e-60,5.045258309836676e-56,A,T11F9.11,824.7132709355068,-5.680246898577126,0.39195004499400066,2.7164863329682513e-49,3.276354166193008e-45,B
ugt-37,851.6848637201861,-6.933782002643714,0.5151020810002108,5.871667074512432e-43,2.605845847668617e-39,A,F10D2.6,851.6848637201861,-7.049347136753677,0.6197265056252064,1.912008585513042e-32,1.1530367774936398e-28,B
cyp-25A3,568.5471089177177,-6.254338459034502,0.49016906188910153,1.0250543299974668e-38,3.4118933373965685e-35,A,C36A4.3,568.5471089177177,-4.494561899575366,0.5538865669224586,3.84577791653584e-17,3.3131376750956263e-14,B
scl-24,222.26239596345513,6.088082904083721,0.5726924858218772,8.671185445040064e-28,2.3089632603052686e-24,A,F08E10.7,222.26239596345513,5.670204925009377,0.5876776948987332,9.5653463445366e-24,2.8841910565363985e-20,B
far-2,691.7980010910039,4.729525786584295,0.44379287231717207,1.8557982389948194e-27,4.1180162923295044e-24,A,F02A9.3,691.7980010910039,2.71918206434018,0.5109788160695116,2.544830188630782e-8,4.871936016678709e-6,B
cyp-13B1,492.4040567484139,-4.586380600553306,0.4488150418754467,2.074207645097621e-25,3.4520000733537155e-22,A,F02C12.5,492.4040567484139,-4.352500066803573,0.5142592193268072,2.4343311223102365e-18,2.936046766618376e-15,B
nspc-20,386.2006357516555,4.625594100072186,0.4562112762861432,4.566000812046451e-25,6.079173481158645e-22,A,D1025.4,386.2006357516555,4.8047339721587745,0.5663643727249159,1.192822552330737e-18,1.5985147559623355e-15,B
R09E12.9,262.2375366223038,-6.576532677407704,0.6781373167788782,8.059663449417101e-24,8.942196597128274e-21,A,R09E12.9,262.2375366223038,-6.277858285052016,0.8585245308051115,2.0697459726178263e-15,1.3138529566180845e-12,B
nspc-19,152.8670260221912,5.711259031732043,0.5865899830935254,1.1198128457237894e-23,1.1468606329205025e-20,A,D1025.9,152.8670260221912,5.308119379330158,0.7578747685554497,6.882919551152974e-14,3.6093431611502623e-11,B
nspc-14,321.52280309269196,5.421815047367084,0.5775764111169287,4.0722717800414588e-22,3.8727304628194275e-19,A,F42F12.7,321.52280309269196,5.9393440063979765,0.7375923321905608,1.0577080220244912e-17,1.0630847044697825e-14,B
emb-8,784.5154848891331,-3.6126826375921435,0.38049345220677844,4.900079876786276e-22,4.349310898635498e-19,A,K10D2.6,784.5154848891331,-2.1587034819044875,0.4605805069488723,2.6598125386264275e-7,4.1662336400484856e-5,B
F48G7.4,232.53824798582988,-4.678449878468703,0.5049353928925283,2.271999265811105e-21,1.8905873890630657e-18,A,F48G7.4,232.53824798582988,-3.537950512999826,0.5585841926630372,4.99414603715313e-11,1.6279566311919974e-8,B
D2063.1,243.84009836705303,-5.139914120254947,0.562927395327062,5.574038784147871e-21,4.365456021890868e-18,A,D2063.1,243.84009836705303,-7.351091826096658,0.8171655756005748,3.62505197797397e-22,8.74435038126881e-19,B
F08D12.3,141.0064888834957,5.473471912615522,0.6237302077201824,1.0612625556815868e-19,7.43665771912876e-17,A,F08D12.3,141.0064888834957,5.551310952149654,0.7453483335079013,1.9641462596649625e-15,1.3138529566180845e-12,B
ZC21.3,643.47440776850965,4.2057300463824365,0.4844628293209214,6.325866834746881e-19,4.0105995732295226e-16,A,ZC21.3,643.47440776850965,1.587797053182901,0.7593839685299938,2.8325263351590884e-4,0.014725474193255933,B
F55H2.8,107.65338874626158,-7.706255883484714,0.9322643183739717,1.0652173556577717e-18,6.446501760557987e-16,A,F55H2.8,107.65338874626158,-3.7800953022398067,0.8206429534982594,4.5068836178054907e-7,6.471133727899051e-5,B
Y25C1A.13,193.4458185127233,-3.1351912299505362,0.367370913506055,2.202790210826467e-18,1.2219978694559827e-15,A,Y25C1A.13,193.4458185127233,-2.2724589841295897,0.4304078057905744,2.093298799396017e-8,4.138897839264814e-6,B
cTel55X.1,1075.8366971516232,-2.1849486057843106,0.28984550302469547,1.9239039483383876e-16,8.262857151024933e-14,A,cTel55X.1,1075.8366971516232,-2.692896256998004,0.3163061012958516,6.8611192187844295e-18,7.522905354341728e-15,B
F07H5.7,128.29858705720383,-4.472005655427039,0.5609191191423731,2.0419652469964176e-16,8.264620070734495e-14,A,F07H5.7,128.29858705720383,-2.3893411540077327,0.6785559633729092,1.675069061171507e-5,0.00145345380912155,B
