gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_wb
spp-17,93.14649540229453,5.422357193290705,0.9142103862265784,3.073076419373584e-11,1.475825964307522e-7,C54G6.5
sodh-1,1946.8770055088453,-4.102919187246005,0.6529224853652871,3.240368787589246e-11,1.475825964307522e-7,K12G11.3
fat-5,135.5229719594371,2.9982597414535825,0.5861852167153916,2.3605323951948025e-8,5.3755223969573644e-5,W06D12.3
nspc-4,80.37024671106322,5.369665516980834,1.1621348375649787,2.0956963217105776e-8,5.3755223969573644e-5,C03G5.11
W06G6.20,164.20005604180176,-3.533252215017766,0.7107018161814173,4.488519454339715e-8,6.81432061826341e-5,W06G6.20
B0563.9,26.37025553397403,-5.663719511213881,1.3251100968433345,3.841613693685062e-8,6.81432061826341e-5,B0563.9
scl-6,44.07224009965685,5.365586676884774,1.4846247124752658,2.4890177125973225e-7,0.00032389231920070015,C39E9.4
asp-12,63.23411445054661,5.0352929304666985,1.3870413560902848,3.864551935437071e-7,4.4002754474870346e-4,F21F8.4
gst-24,91.47479925158892,2.951569078792135,0.7619879144790641,7.114713944422548e-7,6.480792931974499e-4,F37B1.1
nlp-27,296.0544338822984,-3.435010575779546,0.8646201620626583,6.99156882175407e-7,6.480792931974499e-4,B0213.2
W05H9.3,586.5191561129308,1.608855178260021,0.6067799597772252,1.0765116554528503e-6,8.914495154109103e-4,W05H9.3
H32K16.2,145.51215080728673,-2.8545079238061284,0.8355364720425351,1.728429660121536e-6,0.001312022147837256,H32K16.2
F35E8.10,95.10014714014706,-3.935619489803085,1.2974264415098393,3.0462049541092615e-6,0.002134452378998559,F35E8.10
F55H2.8,107.65338874626158,-3.271778468537895,1.0540152622878531,3.6134465520397795e-6,0.002205025436716741,F55H2.8
tatn-1,451.4073365154444,2.522830946878725,0.8662328530902942,3.63106614894622e-6,0.002205025436716741,F42D1.2
F59A7.11,38.12787120832113,-4.247813630684514,1.727399217496667,4.392006259153787e-6,0.002353340294978344,F59A7.11
lpr-3,366.65462880819126,4.180415320658628,1.6068044457013342,4.149246859450217e-6,0.002353340294978344,W04G3.8
acs-2,177.81278165556452,-3.517568780234388,1.287908922005841,6.140509445375894e-6,0.003107438918773834,F28F8.2
T10G3.3,79.91357436842445,2.3939827925174764,0.9246002901799729,6.605613441103847e-6,0.0031668701492113126,T10G3.3
D1007.4,27.212265708599283,1.8681218794924708,0.8357007403107837,8.661233329684952e-6,0.003944758720005011,D1007.4
pgph-2,581.4700643805946,2.7194204495362255,1.089951375158206,1.0075765811335765e-5,0.004370483370259881,F44E7.2
F53F1.4,36.19805868595196,3.739687425126884,2.2774621237797166,1.2258125427998356e-5,0.004854750631462479,F53F1.4
hmit-1.2,655.0924247451118,2.231166584924705,1.0075760463493324,1.4199414648859916e-5,0.005389269501519374,Y51A2D.5
ins-20,68.68031675580019,-3.0701231656557026,1.3907252491366253,1.649426305951859e-5,0.006009849688366194,ZK84.7
ahcy-1,4425.047231599946,1.01482119049342,0.48553899619140983,1.7913684862652242e-5,0.00627599059284228,K02F2.2
ddi-1,131.20410138677065,-1.240622554467763,0.6683643429399939,2.2202229664865872e-5,0.006610250563362523,C01G5.6
ZK6.8,76.95234801896514,-2.2397840021281983,1.080122926975798,2.042309974838021e-5,0.006610250563362523,ZK6.8
lpr-5,260.22046424796065,3.458723008539857,2.1022661054559197,1.965579009564201e-5,0.006610250563362523,W04G3.2
dct-17,49.23956490504975,2.6197561690416693,1.249591266062399,2.1835112918707405e-5,0.006610250563362523,F35E12.7
F32H5.3,290.9783578264557,2.820600510235588,1.4511896365471515,2.7793334311463827e-5,0.007911546320097626,F32H5.3
ZC395.5,59.275057655934866,-2.64514683414013,1.368322481138351,2.986761790445846e-5,0.008001886220344475,ZC395.5
W06G6.17,52.119780832643336,-2.6448170469679146,1.358334521611823,2.9100451405110285e-5,0.008001886220344475,W06G6.17
F13E9.15,391.8135833285189,-1.221199519990331,0.6875068148238073,3.124666020902716e-5,0.008132166509829383,F13E9.15
F02A9.1,49.090725445231115,-1.1999820460463069,0.6789928292700941,3.326159689337546e-5,0.008416107947271028,F02A9.1
cdc-25.2,214.85772844530578,-2.1825583756743034,1.1890747920541174,3.6287178743888065e-5,0.008933511112920983,F16B4.7
scl-20,71.3343873691745,-2.962036906260626,1.8001240558007365,3.73057880178191e-5,0.008942590080376688,ZK384.2
