gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,compared_condition,gene_wb
wrt-1,15.299971534078278,2.7960566698896194,2.421051266355248,3.4503855351329226e-4,0.03377825956967627,A,ZK1290.12
ZK662.2,5.738529010724149,2.7972612344915024,2.5900078503214843,3.545970350657365e-4,0.034460619889527123,A,ZK662.2
dpy-20,35.30303323037441,2.333272504194419,1.8384292085284548,3.611636929766174e-4,0.03484444498761365,A,T22B3.1
F32D1.11,7.59689230124241,2.4081339516229154,1.9411982960856207,3.7307736449975853e-4,0.035734906697480466,A,F32D1.11
K01A2.5,35.336060409043924,1.0110255653451832,0.9016687757033697,4.1020270539882824e-4,0.03901027728342856,A,K01A2.5
F41C3.11,17.805041103436338,1.4785939641697656,1.2499037506986712,4.1893543997109666e-4,0.03955820175727078,A,F41C3.11
ttr-26,170.22744144243478,1.147159150165018,1.018182068880093,4.2908763524361875e-4,0.04023149841995451,A,Y51A2D.11
nhr-153,32.92401162989868,1.4419700017499142,1.2379843518546336,4.339707797225436e-4,0.04040480392465696,A,C13C4.1
phg-1,47.926535687993606,2.237512652355366,1.9567317119799925,4.624174244922307e-4,0.04245948682544524,A,F27E5.4
F58H1.2,13.783705372592603,1.782365233740263,1.5290034675593132,4.6240008110530413e-4,0.04245948682544524,A,F58H1.2
nhr-91,74.7576162632779,1.2921286265177734,1.160870644593485,4.7288351928185184e-4,0.04312309024464778,A,Y15E3A.1
srt-28,16.075924269544885,-1.6092703645134518,1.4064833834724164,4.7638062268546037e-4,0.04314647354036884,A,C24B9.4
F53C11.9,169.25951341481203,1.2088504234164255,1.1066671267859998,4.8471217825404834e-4,0.04360444554915135,A,F53C11.9
C23H3.9,100.91568758653158,1.3448203630221682,1.2314192293095914,5.103403414222823e-4,0.045297808704641784,A,C23H3.9
F26F12.4,30.992987902129812,2.2641214730069326,2.2018320239283096,5.484012827246768e-4,0.0480356228828707,A,F26F12.4
cbp-3,25.275093282581352,1.2903407508614952,1.2362894093388115,5.741267974716247e-4,0.04963587130868319,A,F40F12.7
C26B9.3,16.45474065450098,1.547893115186912,1.454408789519951,5.782526588810286e-4,0.049670038066722676,A,C26B9.3
